Rank,Product Name,Sum of Total Profit,_Percent Of Accued Profit 2015
59,12 Colored Short Pencils,121.288,98.0%
13,1726 Digital Answering Machine,2113.9570999999996,78.5%
11,"24 Capacity Maxi Data Binder Racks, Pearl",2316.05,75.5%
15,300 Series Non-Flip,1703.3268,81.1%
83,3Max Organizer Strips,60.32800000000001,99.4%
40,3Max Polarizing Light Filter Sleeves,295.2619999999999,95.2%
28,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",686.2860000000001,91.2%
18,600 Series Flip,1372.5451999999998,84.4%
17,600 Series Non-Flip,1563.3977,83.4%
60,"Adams ""While You Were Out"" Message Pads",107.72860000000003,98.1%
7,Adesso Programmable 142-Key Keyboard,5870.589599999999,68.2%
64,Airmail Envelopes,95.67000000000002,98.3%
111,Alliance Rubber Bands,7.656000000000001,100.0%
92,Alto 3-Hole Punch,36.7776,99.7%
23,Alto Keyboard-In-A-Box,1004.0500000000002,88.4%
70,Alto Memo Cubes,83.4352,98.7%
54,"Alto Parchment Paper, Assorted Colors",181.70840000000004,97.4%
42,"Alto Six-Outlet Power Strip, 4 Cord Length",265.05,95.6%
75,Aluminum Document Frame,75.14,99.0%
49,"Angle-D Binders with Locking Rings, Label Holders",208.73599999999996,96.7%
25,Apex Box Cutter Scissors,795.6904999999999,89.6%
37,Apex Design Stainless Steel Bent Scissors,359.71079999999995,94.5%
63,Apex Elite Stainless Steel Scissors,98.0658,98.3%
41,Apex Forged Steel Scissors with Black Enamel Handles,268.85740000000004,95.4%
38,Apex Office Executive Series Stainless Steel Trimmers,336.20670000000007,94.8%
84,Apex Preferred Stainless Steel Scissors,58.4304,99.4%
33,Apex Straight Scissors,513.7646,93.3%
57,Artisan 474 Labels,151.15519999999995,97.8%
91,Artisan 479 Labels,37.66799999999999,99.7%
102,Artisan 481 Labels,20.151600000000002,99.9%
55,Artisan 487 Labels,177.02459999999996,97.6%
34,Artisan Arch Ring Binders,486.35099999999994,93.6%
95,Artisan Binder Labels,33.632,99.8%
86,Artisan Durable Binders,51.92959999999999,99.5%
53,Artisan Durable Poly Binders,189.34870000000004,97.3%
19,"Artisan Flip-Chart Easel Binder, Black",1291.4203999999995,85.3%
50,Artisan Hanging File Binders,207.75560000000007,96.9%
116,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",2.8979999999999997,100.0%
78,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",71.0746,99.2%
85,Artisan Hi-Liter Fluorescent Desk Style Markers,52.776799999999994,99.5%
68,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,90.39699999999999,98.6%
96,Artisan Hi-Liter Smear-Safe Highlighters,32.9184,99.8%
112,Artisan Hole Reinforcements,6.468,100.0%
82,Artisan Legal 4-Ring Binder,60.812000000000005,99.3%
100,Artisan Non-Stick Binders,22.8825,99.9%
87,Artisan Poly Binder Pockets,51.429400000000015,99.5%
52,Artisan Printable Repositionable Plastic Tabs,198.274,97.2%
90,Artisan Reinforcements for Hole-Punch Pages,38.515800000000006,99.6%
88,Assorted Color Push Pins,48.187400000000004,99.6%
66,Bagged Rubber Bands,93.6204,98.5%
93,Barrel Sharpener,34.663599999999995,99.7%
24,Beekin 105-Key Black Keyboard,942.3306,89.1%
26,Beekin 6 Outlet Metallic Surge Strip,747.2554000000001,90.2%
97,Binder Clips by OIC,29.144799999999996,99.8%
46,Binder Posts,227.36,96.3%
36,Binding Machine Supplies,401.2545000000001,94.3%
113,Brown Kraft Recycled Envelopes,5.430600000000001,100.0%
2,Cando PC940 Copier,18958.2035,32.6%
8,Cando S750 Color Inkjet Printer,3058.2392,70.4%
65,Col-Erase Pencils with Erasers,94.704,98.4%
56,Colored Envelopes,166.6053,97.7%
89,Colored Push Pins,40.9824,99.6%
99,"Creator Anti Dust Chalk, 12/Pack",24.544800000000002,99.8%
6,Deluxe Rollaway Locking File with Drawer,6525.105999999999,64.0%
45,DrawIt Colored Pencils,227.80169999999998,96.1%
35,"DrawIt Colored Pencils, 48-Color Set",472.37899999999996,94.0%
69,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",85.42659999999998,98.7%
110,Economy Binders,10.84,100.0%
3,Emerson Stylus 1520 Color Inkjet Printer,17879.7392,45.4%
47,HFX 6S Scientific Calculator,227.24460000000002,96.4%
1,HFX LaserJet 3310 Copier,26526.127699999997,19.0%
27,Laser DVD-RAM discs,738.4871999999998,90.7%
104,"Laser Neon Mac Format Diskettes, 10/Pack",18.019199999999998,99.9%
44,Lumi Crayons,246.1825,95.9%
98,"Message Book, One Form per Page",27.531599999999997,99.8%
5,Multimedia Mailers,9322.411800000002,59.3%
10,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",2351.4392,73.8%
114,OIC Bulk Pack Metal Binder Clips,3.9753000000000007,100.0%
107,OIC Thumb-Tacks,15.187199999999999,100.0%
51,PastelOcean Color Pencil Set,207.7364,97.0%
58,Pizazz Colored Pencils,123.40539999999999,97.9%
48,Pizazz Drawing Pencil Set,226.57059999999996,96.6%
109,Pizazz Dustless Chalk Sticks,12.143999999999997,100.0%
76,Security-Tint Envelopes,73.3312,99.1%
106,Self-Adhesive Removable Labels,17.2125,99.9%
61,Self-Adhesive Ring Binder Labels,105.70159999999998,98.1%
73,Smiths Bulk Pack Metal Binder Clips,79.8516,98.9%
77,Smiths Bulldog Clip,71.89979999999998,99.1%
43,Smiths File Caddy,259.7316,95.8%
72,Smiths General Use 3-Ring Binders,79.91879999999999,98.8%
115,Smiths Gold Paper Clips,3.1223999999999994,100.0%
101,Smiths Metal Binder Clips,21.0704,99.9%
67,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",91.6912,98.5%
105,Smiths Pushpins,17.7848,99.9%
30,Smiths SlimLine Pencil Sharpener,635.7761,92.1%
80,Smiths Standard Envelopes,64.1248,99.3%
16,Steady 52201 APSCO Electric Pencil Sharpener,1614.4506,82.3%
74,"Steady Colorific Colored Pencils, 12/Box",78.00959999999999,99.0%
71,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",81.26100000000001,98.8%
94,Steady Liquid Accent Highlighters,33.71039999999999,99.7%
81,Steady Liquid Accent Tank-Style Highlighters,63.40079999999999,99.3%
32,Steady Major Accent Highlighters,547.5672,92.9%
108,Steady Pocket Accent Highlighters,14.544000000000002,100.0%
31,TechSavi Access Keyboard,583.4764,92.5%
29,TechSavi Cordless Access Keyboard,654.1514999999999,91.6%
12,TechSavi Cordless Elite Duo,2122.4676000000004,77.0%
14,TechSavi Cordless Navigator Duo,1943.4976000000001,79.9%
39,TechSavi Internet Navigator Keyboard,325.8508,95.0%
9,TypeRight Side-Opening Peel & Seel Expanding Envelopes,2439.1908000000003,72.1%
20,UGen RF Keyboard,1185.6190000000001,86.2%
21,UGen Ultra Cordless Optical Suite,1070.3883999999998,86.9%
4,UGen Ultra Professional Cordless Optical Suite,10185.194400000002,52.7%
103,Unpadded Memo Slips,18.9704,99.9%
62,"Wirebound Message Book, 4 per Page",104.50619999999999,98.2%
79,Wirebound Voice Message Log Book,64.12559999999999,99.2%
22,Xit Blank Computer Paper,1023.5837999999999,87.7%
